tags,discription,price,title,Title,img,url
"1/4W, 5%",,Rs.0.25,100Ω,100Ω,http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100%cf%89/
"Axial Leads,Inductors",,Rs.3.00,100uH 0307,100uH 0307,http://scionelectronics.com/wp-content/uploads/2016/12/Inductors-Axial-Leads-100uH-0307-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100uh-0307/
"Inductors,Radial Leads",,Rs.9.00,100uH,100uH,http://scionelectronics.com/wp-content/uploads/2017/01/Power-Inductors-Radial-leads-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100uh/
"50V,Capacitors,Electrolytic",,Rs.3.50,100UF 50V  8*12 mm,100UF 50V  8*12 mm,http://scionelectronics.com/wp-content/uploads/2016/12/50V-Electrolytic-Capacitor-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100uf-50v-812-mm/
"35V,Capacitors,Electrolytic",,Rs.2.50,100UF 35V 6*12mm,100UF 35V 6*12mm,http://scionelectronics.com/wp-content/uploads/2017/12/35V-Electrolytic-Capacitor-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100uf-35v-612mm/
"25V,Capacitors,Electrolytic",,Rs.1.50,100UF 25V  6*12 mm,100UF 25V  6*12 mm,http://scionelectronics.com/wp-content/uploads/2016/12/25V-Electrolytic-Capacitor-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100uf-25v-612-mm/
"16V,Capacitors,Electrolytic",,Rs.1.50,100UF 16V 5*11mm,100UF 16V 5*11mm,http://scionelectronics.com/wp-content/uploads/2017/12/16V-Electrolytic-Capacitor-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100uf-16v-511mm/
"Capacitors,Ceramic Disc",,Rs.0.50,100pF 50V,100pF 50V,http://scionelectronics.com/wp-content/uploads/2016/12/Ceramic-Disc-Capacitor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100pf-50v/
"Capacitors,Ceramic Disc",,Rs.0.50,100nF 50V,100nF 50V,http://scionelectronics.com/wp-content/uploads/2016/12/Ceramic-Disc-Capacitor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100nf-50v/
"0805,Inductors,SMD",,Rs.2.50,100nH 0805,100nH 0805,http://scionelectronics.com/wp-content/uploads/2017/01/SMD-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100nh-0805/
Ocsillator Crystals,,Rs.17.00,100MHz,100MHz,http://scionelectronics.com/wp-content/uploads/2017/12/100MHz-Crystal-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100mhz/
"Fuses,Glass",,Rs.1.75,100mA  DIP,100mA  DIP,http://scionelectronics.com/wp-content/uploads/2016/12/Fuse-Glass-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100ma-dip/
"PCB Presets 2,Resistors",,Rs.9.00,100M (Local),100M (Local),http://scionelectronics.com/wp-content/uploads/2016/12/PCB-Preset-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/100m/
"1W, 5%",,Rs.1.25,100kΩ,100kΩ,http://scionelectronics.com/wp-content/uploads/2016/12/1W-Resistor-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/100k%cf%89/
"6W, 5%,Resistors",,Rs.10.00,10Ω (Local),10Ω (Local),http://scionelectronics.com/wp-content/uploads/2017/01/6.0W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10%cf%89-3/
"1/2W, 5%,Resistors",,Rs.0.75,10Ω,10Ω,http://scionelectronics.com/wp-content/uploads/2017/01/0.5W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10%cf%89-5/
"1W, 5%",,Rs.1.25,10Ω,10Ω,http://scionelectronics.com/wp-content/uploads/2016/12/1W-Resistor-Scion-Electronics-Sri-Lanka-1.jpg,http://scionelectronics.com/product/10%cf%89-2/
"1/4W, 5%",,Rs.0.25,10Ω,10Ω,http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10%cf%89/
Others,"Magnet Type: Neodymium,Disc Size: 10x1mm,Rating: N35",Rs.25.00,10x1mm Disc Rare Earth Super strong Magnet (N35),10x1mm Disc Rare Earth Super strong Magnet (N35),http://scionelectronics.com/wp-content/uploads/2017/12/10x1mm-Disc-Rare-Earth-Super-strong-Magnet-N35-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10mm-x1mm-disc-rare-earth-super-strong-magnets-n35/
"Boards,Dot,Imported",,Rs.145.00,10x15cm Single Side Fiber Glass GREEN Dot Board Prototype PCB Universal Board,10x15cm Single Side Fiber Glass GREEN Dot Board Prototype PCB Universal Board,http://scionelectronics.com/wp-content/uploads/2017/12/10x15cm-Single-Side-Fiber-Glass-GREEN-Board-Prototype-PCB-Universal-Board-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10x15cm-single-side-fiber-glass-green-dot-board-prototype-pcb-universal-board/
"Inductors,Radial Leads",,Rs.9.00,10uH,10uH,http://scionelectronics.com/wp-content/uploads/2017/01/Power-Inductors-Radial-leads-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10uh/
"3D Printer & CNC Accessories,Couplings",,Rs.320.00,10X10.5MM  Silver CNC Stepper Motor Shaft Coupling Coupler for Encoder,10X10.5MM  Silver CNC Stepper Motor Shaft Coupling Coupler for Encoder,http://scionelectronics.com/wp-content/uploads/2016/07/6.35mm-to-10mm-Silver-CNC-Stepper-Motor-Shaft-Coupling-Coupler-for-Encoder-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10x10-5mm-silver-cnc-stepper-motor-shaft-coupling-coupler-for-encoder/
"0805,Inductors,SMD",,Rs.1.75,10uH 0805,10uH 0805,http://scionelectronics.com/wp-content/uploads/2017/01/SMD-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10uh-0805/
"Axial Leads,Inductors",,Rs.3.00,10uH 0307,10uH 0307,http://scionelectronics.com/wp-content/uploads/2016/12/10uH-0307-Inductors-Axial-leads-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10uh-0307/
"50V,Capacitors,Electrolytic",,Rs.1.50,10UF 50V  5*11 mm,10UF 50V  5*11 mm,http://scionelectronics.com/wp-content/uploads/2016/12/50V-Electrolytic-Capacitor-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10uf-50v-511-mm/
"25V,Capacitors,Electrolytic",,Rs.1.50,10UF 25V  5*11mm,10UF 25V  5*11mm,http://scionelectronics.com/wp-content/uploads/2016/12/25V-Electrolytic-Capacitor-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10uf-25v-511mm/
"100V,Capacitors,Electrolytic",,Rs.3.00,10UF 100V 6.3*12mm Electrolytic Capacitor,10UF 100V 6.3*12mm Electrolytic Capacitor,http://scionelectronics.com/wp-content/uploads/2017/12/100V-Electrolytic-Capacitor-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10uf-100v-6-312mm-electrolytic-capacitor/
"3D Printer & CNC Accessories,Bearings",,Rs.290.00,10mm Bore Diameter KFL000 Pillow Block Bearing Flange Rhombic Bearing RSGG,10mm Bore Diameter KFL000 Pillow Block Bearing Flange Rhombic Bearing RSGG,,http://scionelectronics.com/product/10mm-bore-diameter-kfl000-pillow-block-bearing-flange-rhombic-bearing-rsgg/
"Capacitors,Ceramic Disc",,Rs.0.50,10pF 50V,10pF 50V,http://scionelectronics.com/wp-content/uploads/2016/12/Ceramic-Disc-Capacitor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10pf-50v/
Ocsillator Crystals,,Rs.11.00,10MHz,10MHz,http://scionelectronics.com/wp-content/uploads/2016/12/Ocsillator-Crystal-10MHz-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10mhz/
"0805,Inductors,SMD",,Rs.2.00,10nH 0805,10nH 0805,http://scionelectronics.com/wp-content/uploads/2017/01/SMD-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10nh-0805/
"Other,Sensors & Modules","Two analog outputs, analog outputs 0-VCC voltage signals,Size : 90 * 20 mm / 0.39*0.78″,Voltage : 3.3V or 5V,Port : Analog,Resistance : 10k",Rs.390.00,10k Adjustable Electronic Sliding Potentiometer Module,10k Adjustable Electronic Sliding Potentiometer Module,http://scionelectronics.com/wp-content/uploads/2017/10/10k-Adjustable-Electronic-Sliding-Potentiometer-Module-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10k-adjustable-electronic-sliding-potentiometer-module/
"Capacitors,Ceramic Disc",,Rs.0.50,10nF 50V,10nF 50V,http://scionelectronics.com/wp-content/uploads/2016/12/Ceramic-Disc-Capacitor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10nf-50v/
Others,,Rs.18.00,10mm x 7mm 2 Pin MIC Capsule Electret Condenser Microphone (Local),10mm x 7mm 2 Pin MIC Capsule Electret Condenser Microphone (Local),http://scionelectronics.com/wp-content/uploads/2017/05/10mmx7mm-2-Pin-MIC-Capsule-Electret-Condenser-Microphone-Local-2-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/9-7mm-x-7mm-2-pin-mic-capsule-electret-condenser-microphone-local/
"1/4W, 5%,Resistors",,Rs.0.25,"10M 1/4W, 5% Axial Resistor","10M 1/4W, 5% Axial Resistor",http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10m-14w-5-axial-resistor/
"0805,Resistors,SMD",,Rs.0.25,10kOhm 0805,10kOhm 0805,http://scionelectronics.com/wp-content/uploads/2017/01/SMD-Resistor-0805-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10kohm-0805/
"1/4W, 5%",,Rs.0.25,10k,10k,http://scionelectronics.com/wp-content/uploads/2016/11/0.25W-5-Resistor-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10k/
"Load / Weight,Sensors & Modules","Capacity: 3 – 200kg,Material: Aluminum-alloy or alloy steel,Type: Parallel beam type,Defend grade: IP65,Application: Palm scale, kitchen scale, electronic balance, fishing scale, electronic platform scale and other electronic weighing devices",Rs.690.00,10kg Load Sensor,10kg Load Sensor,http://scionelectronics.com/wp-content/uploads/2017/12/10-kg-Load-Sensor-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10kg-load-sensor/
"Resistors,Trimmer Potentiometer 1",,Rs.15.00,10k – P103 (Local),10k – P103 (Local),http://scionelectronics.com/wp-content/uploads/2016/12/Trimmer-Potentiometers-1-Scion-Electronics-Sri-Lanka.jpg,http://scionelectronics.com/product/10k-p103/
